t,u0,v0,u1,v1,u2,v2,u3,v3,X,Y,Z,Roll,Pitch,Yaw
4943.404674530029,416,345,421,156,221,156,229,346,0.6142208427413198,146.07213328948302,-4.33465203622634,-0.1593216461869202,0.0023780275758200965,-3.127910427336834
4997.192621231079,417,343,421,157,220,158,232,345,0.8793888230024773,147.33607949260812,-4.5856712826120605,-0.19321842580183998,0.00893435986274678,-3.132473974647563
5024.033784866333,416,339,424,156,218,158,233,341,0.8969298048894103,147.07004573978887,-4.359455964021395,-0.2750508760118133,0.01302338141891164,3.1322902298518542
5041.640758514404,416,339,424,156,218,158,233,341,0.8969298048894103,147.07004573978887,-4.359455964021395,-0.2750508760118133,0.01302338141891164,3.1322902298518542
5056.713819503784,416,337,427,158,218,159,235,339,1.3463397118778992,146.37627239125538,-4.58112076586969,-0.3427825254861347,0.00901431109517162,-3.1310298550269438
5087.663650512695,417,333,430,160,217,162,238,335,1.7672062309640424,147.19595413181767,-4.707628112956354,-0.41886338147481855,0.01302952090266576,3.1333062702351646
5119.131326675415,417,327,432,163,214,165,239,329,1.819827218721902,148.85785313267502,-4.532198243036985,-0.5096954820776103,0.013148109585085005,3.1335369389298418
5151.028394699097,416,318,436,167,212,169,241,321,2.182442814591746,148.73616504291704,-4.135799543957293,-0.6367804866972334,0.015955132647466008,-3.130929684129321
5215.606451034546,416,308,441,175,209,181,243,311,2.2682258717265746,153.4164933240653,-4.377782917113959,-0.7861797665455338,0.031082797683765602,3.0573350348760258
5246.156454086304,416,305,444,187,207,189,245,307,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5298.008918762207,446,192,417,299,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5326.431512832642,449,197,418,294,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5338.315725326538,449,197,418,294,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5358.376741409302,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5398.118495941162,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5422.699928283691,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5454.906702041626,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5487.3292446136475,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5519.469738006592,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5551.985025405884,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5630.019426345825,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5660.33148765564,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5682.723760604858,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5699.259281158447,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
5726.11141204834,0,0,0,0,0,0,0,0,2.6783034206664142,147.50108562854575,-5.202011026371606,-0.8925771626332807,0.012775190959296726,3.1369642832567615
